x,y,rssi
-75.0,0,-96.0
-74.00662251655629,0,-96.0
-73.01324503311258,0,-95.0
-72.01986754966887,0,-95.0
-71.02649006622516,0,-95.0
-70.03311258278146,0,-94.0
-69.03973509933775,0,-93.0
-68.04635761589404,0,-94.0
-67.05298013245033,0,-93.0
-66.05960264900662,0,-93.0
-65.06622516556291,0,-93.0
-64.0728476821192,0,-94.0
-63.079470198675494,0,-93.0
-62.086092715231786,0,-93.0
-61.09271523178808,0,-94.0
-60.09933774834437,0,-94.0
-59.10596026490066,0,-94.0
-58.11258278145695,0,-93.0
-57.11920529801324,0,-93.0
-56.12582781456953,0,-93.0
-55.132450331125824,0,-93.0
-54.139072847682115,0,-92.0
-53.14569536423841,0,-93.0
-52.1523178807947,0,-93.0
-51.158940397350996,0,-92.0
-50.16556291390729,0,-91.0
-49.17218543046358,0,-91.0
-48.17880794701987,0,-92.0
-47.18543046357616,0,-90.0
-46.19205298013245,0,-91.0
-45.19867549668874,0,-91.0
-44.205298013245034,0,-91.0
-43.211920529801326,0,-91.0
-42.21854304635762,0,-90.0
-41.22516556291391,0,-90.0
-40.2317880794702,0,-89.0
-39.23841059602649,0,-89.0
-38.24503311258278,0,-90.0
-37.25165562913907,0,-88.0
-36.258278145695364,0,-88.0
-35.264900662251655,0,-87.0
-34.271523178807946,0,-87.0
-33.27814569536424,0,-87.0
-32.28476821192053,0,-87.0
-31.29139072847682,0,-87.0
-30.29801324503311,0,-86.0
-29.304635761589402,0,-87.0
-28.311258278145694,0,-86.0
-27.317880794701992,0,-86.0
-26.324503311258283,0,-85.0
-25.331125827814574,0,-86.0
-24.337748344370866,0,-86.0
-23.344370860927157,0,-85.0
-22.350993377483448,0,-85.0
-21.35761589403974,0,-84.0
-20.36423841059603,0,-84.0
-19.37086092715232,0,-84.0
-18.377483443708613,0,-84.0
-17.384105960264904,0,-83.0
-16.390728476821195,0,-83.0
-15.397350993377486,0,-82.0
-14.403973509933778,0,-82.0
-13.410596026490069,0,-82.0
-12.41721854304636,0,-82.0
-11.423841059602651,0,-82.0
-10.430463576158942,0,-82.0
-9.437086092715234,0,-82.0
-8.443708609271525,0,-82.0
-7.450331125827816,0,-81.0
-6.456953642384107,0,-79.0
-5.463576158940398,0,-79.0
-4.47019867549669,0,-79.0
-3.476821192052981,0,-79.0
-2.483443708609272,0,-77.0
-1.4900662251655632,0,-77.0
-0.4966887417218544,0,-75.0
0.4966887417218544,0,-73.0
1.4900662251655632,0,-70.0
2.483443708609272,0,-68.0
3.476821192052981,0,-68.0
4.47019867549669,0,-65.0
5.463576158940398,0,-68.0
6.456953642384107,0,-68.0
7.450331125827816,0,-68.0
8.443708609271525,0,-70.0
9.437086092715234,0,-73.0
10.430463576158942,0,-75.0
11.423841059602651,0,-73.0
12.41721854304636,0,-75.0
13.410596026490069,0,-77.0
14.403973509933778,0,-77.0
15.397350993377486,0,-76.0
16.390728476821195,0,-76.0
17.384105960264904,0,-76.0
18.377483443708613,0,-76.0
19.37086092715232,0,-76.0
20.364238410596016,0,-76.0
21.357615894039725,0,-76.0
22.350993377483434,0,-76.0
23.344370860927143,0,-76.0
24.33774834437085,0,-76.0
25.33112582781456,0,-76.0
26.32450331125827,0,-77.0
27.317880794701978,0,-77.0
28.311258278145687,0,-77.0
29.304635761589395,0,-78.0
30.298013245033104,0,-78.0
31.291390728476813,0,-78.0
32.28476821192052,0,-78.0
33.27814569536423,0,-78.0
34.27152317880794,0,-79.0
35.26490066225165,0,-79.0
36.25827814569536,0,-79.0
37.251655629139066,0,-81.0
38.245033112582774,0,-81.0
39.23841059602648,0,-81.0
40.23178807947019,0,-81.0
41.2251655629139,0,-81.0
42.21854304635761,0,-82.0
43.21192052980132,0,-82.0
44.20529801324503,0,-82.0
45.198675496688736,0,-82.0
46.192052980132445,0,-82.0
47.185430463576154,0,-82.0
48.17880794701986,0,-83.0
49.17218543046357,0,-83.0
50.16556291390728,0,-83.0
51.15894039735099,0,-83.0
52.1523178807947,0,-84.0
53.14569536423841,0,-84.0
54.139072847682115,0,-85.0
55.132450331125824,0,-84.0
56.12582781456953,0,-84.0
57.11920529801324,0,-86.0
58.11258278145695,0,-86.0
59.10596026490066,0,-85.0
60.09933774834437,0,-86.0
61.09271523178808,0,-87.0
62.086092715231786,0,-86.0
63.079470198675494,0,-86.0
64.0728476821192,0,-87.0
65.06622516556291,0,-87.0
66.05960264900662,0,-87.0
67.05298013245033,0,-87.0
68.04635761589404,0,-87.0
69.03973509933775,0,-88.0
70.03311258278146,0,-88.0
71.02649006622516,0,-88.0
72.01986754966887,0,-88.0
73.01324503311258,0,-88.0
74.00662251655629,0,-88.0
75.0,0,-89.0
-75.0,5,-94.0
-73.88888888888889,5,-94.0
-72.77777777777777,5,-93.0
-71.66666666666667,5,-93.0
-70.55555555555556,5,-93.0
-69.44444444444444,5,-94.0
-68.33333333333333,5,-93.0
-67.22222222222223,5,-94.0
-66.11111111111111,5,-94.0
-65.0,5,-93.0
-63.888888888888886,5,-93.0
-62.77777777777778,5,-93.0
-61.666666666666664,5,-93.0
-60.55555555555556,5,-93.0
-59.44444444444444,5,-92.0
-58.33333333333333,5,-92.0
-57.22222222222222,5,-91.0
-56.111111111111114,5,-91.0
-55.0,5,-90.0
-53.888888888888886,5,-89.0
-52.77777777777778,5,-90.0
-51.666666666666664,5,-88.0
-50.55555555555556,5,-89.0
-49.44444444444444,5,-89.0
-48.33333333333333,5,-89.0
-47.22222222222222,5,-89.0
-46.111111111111114,5,-89.0
-45.0,5,-89.0
-43.888888888888886,5,-89.0
-42.77777777777778,5,-88.0
-41.666666666666664,5,-88.0
-40.55555555555556,5,-88.0
-39.44444444444444,5,-87.0
-38.33333333333333,5,-88.0
-37.22222222222222,5,-88.0
-36.11111111111111,5,-88.0
-35.0,5,-87.0
-33.888888888888886,5,-87.0
-32.77777777777778,5,-86.0
-31.666666666666664,5,-86.0
-30.555555555555557,5,-86.0
-29.444444444444443,5,-86.0
-28.33333333333333,5,-85.0
-27.22222222222222,5,-85.0
-26.111111111111107,5,-85.0
-25.0,5,-84.0
-23.888888888888886,5,-83.0
-22.77777777777778,5,-82.0
-21.666666666666664,5,-82.0
-20.55555555555555,5,-83.0
-19.444444444444443,5,-82.0
-18.33333333333333,5,-83.0
-17.22222222222222,5,-82.0
-16.111111111111107,5,-82.0
-15.0,5,-83.0
-13.888888888888886,5,-83.0
-12.777777777777771,5,-83.0
-11.666666666666664,5,-84.0
-10.555555555555557,5,-84.0
-9.444444444444443,5,-84.0
-8.333333333333329,5,-84.0
-7.222222222222214,5,-85.0
-6.111111111111114,5,-84.0
-5.0,5,-83.0
-3.8888888888888857,5,-81.0
-2.7777777777777715,5,-78.0
-1.6666666666666572,5,-78.0
-0.5555555555555571,5,-77.0
0.5555555555555571,5,-76.0
1.6666666666666714,5,-75.0
2.7777777777777857,5,-73.0
3.8888888888888857,5,-72.0
5.0,5,-72.0
6.111111111111114,5,-73.0
7.2222222222222285,5,-73.0
8.333333333333343,5,-78.0
9.444444444444443,5,-78.0
10.555555555555557,5,-78.0
11.666666666666671,5,-78.0
12.777777777777786,5,-79.0
13.888888888888886,5,-79.0
15.0,5,-82.0
16.111111111111114,5,-82.0
17.22222222222223,5,-83.0
18.333333333333343,5,-83.0
19.444444444444443,5,-83.0
20.555555555555557,5,-84.0
21.66666666666667,5,-83.0
22.777777777777786,5,-82.0
23.8888888888889,5,-83.0
25.0,5,-83.0
26.111111111111114,5,-83.0
27.22222222222223,5,-82.0
28.333333333333343,5,-82.0
29.444444444444443,5,-82.0
30.555555555555557,5,-82.0
31.66666666666667,5,-83.0
32.777777777777786,5,-82.0
33.8888888888889,5,-84.0
35.0,5,-83.0
36.111111111111114,5,-83.0
37.22222222222223,5,-84.0
38.33333333333334,5,-84.0
39.44444444444444,5,-84.0
40.55555555555556,5,-84.0
41.66666666666667,5,-85.0
42.777777777777786,5,-85.0
43.8888888888889,5,-85.0
45.0,5,-85.0
46.111111111111114,5,-85.0
47.22222222222223,5,-86.0
48.33333333333334,5,-86.0
49.44444444444446,5,-87.0
50.55555555555556,5,-86.0
51.66666666666667,5,-87.0
52.777777777777786,5,-87.0
